...1,Date.Sensor.ID,X10th.Street.Bridge,Parking.Lot.at.the.Corner.of.Hemphill.and.Ferst.St,X5th.Street.Bridge,Canopied.Walkway,X10th.and.Hemphill.St.Parking.Lot,Crecine.Hall,Baker.Building,McCamish.Pavilion,Curran.St..Parking.Deck,Constructed.Wetlands,Stamps.Field.Parking,Grass.Walkway,Allen.Parking.Lot,Clough.Parking.Loop,Tech.Square,Brittain.Drive,Tech.Tower,Glenn.Courtyard,Constructed.Wetland.Trees,Couch.Park.Walkway,Biology.Quad.Amphitheater,month,day,year,avg_campus_temp,temp_category
1,2017-06-01,76.36,75.96,75.4,73.8,76.15,75.08,76.01,76.18,75.89,75.29,75.73,75.22,75.08,75.43,76.52,76.37,75.3,75.86,74.27,75.05,74.36,Jun,Thu,2017,75.49,Medium
2,2017-06-02,79.41,78.76,77.97,76.22,78.9,78.07,78.2,79.12,79.03,77.59,78.5,77.81,77.45,78.13,79.36,78.94,77.63,78.89,76.37,77.62,76.58,Jun,Fri,2017,78.12,Medium
3,2017-06-03,79.89,79.33,78.45,76.22,79.15,78.07,78.64,79.1,79.8,78.17,79.2,78,77.94,78.34,80.34,79.48,78.2,79.76,76.16,77.8,76.92,Jun,Sat,2017,78.52,Medium
4,2017-06-04,75.24,74.47,73.93,72.67,74.19,73.89,73.76,74.92,74.51,73.87,74.17,74.11,73.97,74.4,74.96,74.71,73.97,75.08,73.77,74.04,73.34,Jun,Sun,2017,74.19,Low
5,2017-06-05,74.81,74.89,73.89,73.02,75.12,74.04,74.69,74.9,74.55,74.76,74.41,74.17,73.9,74.19,74.74,74.79,73.96,74.23,73.87,74.2,73.57,Jun,Mon,2017,74.32,Low
6,2017-06-06,75.23,74.21,73.49,72.18,74.1,73.52,73.77,74.52,74.18,73.77,74.2,73.61,73.54,74.13,74.81,74.5,73.34,74.25,73.86,73.69,72.88,Jun,Tue,2017,73.89,Low
7,2017-06-07,74.87,74.05,73.86,71.93,73.97,73.24,73.53,74.51,73.57,73.31,73.42,73.37,73.13,73.6,74.7,74.25,73.56,73.96,73.43,73.24,72.8,Jun,Wed,2017,73.63,Low
8,2017-06-08,73.3,72.96,71.62,70.08,72.69,71.88,72.25,73.29,72.79,72.4,72.55,72.12,71.51,72.26,73.03,72.71,71.76,72.86,72.14,72.03,70.93,Jun,Thu,2017,72.25,Low
9,2017-06-09,77.01,76.59,76.01,74.02,76.82,75.08,76.54,76.89,76.77,75.69,76.42,75.27,74.86,75.25,77.36,76.59,75.52,76.44,74.07,74.82,74.4,Jun,Fri,2017,75.83,Medium
10,2017-06-10,79.06,78.52,78.23,75.87,78.81,77.25,78.35,78.68,79.29,77.81,78.42,77.31,77.28,77.53,79.61,78.75,77.83,78.98,75.6,76.92,76.66,Jun,Sat,2017,77.94,Medium
